"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"EALT4<XBSP>","2T2010","-"
"EALT4<XBSP>","3T2010","-"
"EALT4<XBSP>","4T2010","-"
"EALT4<XBSP>","1T2011","-"
"EALT4<XBSP>","2T2011","-"
"EALT4<XBSP>","3T2011","-"
"EALT4<XBSP>","4T2011","-"
"EALT4<XBSP>","1T2012","-"
"EALT4<XBSP>","2T2012","-"
"EALT4<XBSP>","3T2012","-"
"EALT4<XBSP>","4T2012","-"
"EALT4<XBSP>","1T2013","-"
"EALT4<XBSP>","2T2013","-"
"EALT4<XBSP>","3T2013","-"
"EALT4<XBSP>","4T2013","-"
"EALT4<XBSP>","1T2014","-"
"EALT4<XBSP>","2T2014","-"
"EALT4<XBSP>","3T2014","-"
"EALT4<XBSP>","4T2014","-"
"EALT4<XBSP>","1T2015","-"
"EALT4<XBSP>","2T2015","-"
"EALT4<XBSP>","3T2015","-"
"EALT4<XBSP>","4T2015","-"
"EALT4<XBSP>","1T2016","-"
"EALT4<XBSP>","2T2016","-"
"EALT4<XBSP>","3T2016","-"
"EALT4<XBSP>","4T2016","-"
"EALT4<XBSP>","1T2017","-"
"EALT4<XBSP>","2T2017","-"
"EALT4<XBSP>","3T2017","-"
"EALT4<XBSP>","4T2017","-"
"EALT4<XBSP>","1T2018","-"
"EALT4<XBSP>","2T2018",94980
"EALT4<XBSP>","3T2018",98526
"EALT4<XBSP>","4T2018",154624
"EALT4<XBSP>","1T2019",160374
"EALT4<XBSP>","2T2019",160878
"EALT4<XBSP>","3T2019",165525
"EALT4<XBSP>","4T2019",162778
"EALT4<XBSP>","1T2020",167583
"EALT4<XBSP>","2T2020",168715
"EALT4<XBSP>","3T2020",179500
"EALT4<XBSP>","4T2020",183640
"EALT4<XBSP>","1T2021",180267
"EALT4<XBSP>","2T2021",185711
"EALT4<XBSP>","3T2021",194506
"EALT4<XBSP>","4T2021",187717
"EALT4<XBSP>","1T2022",188886
"EALT4<XBSP>","2T2022",197779
"EALT4<XBSP>","3T2022",204685
"EALT4<XBSP>","4T2022",215087
"EALT4<XBSP>","1T2023",212507
"EALT4<XBSP>","2T2023",221860
"EALT4<XBSP>","3T2023",231271
"EALT4<XBSP>","4T2023",243576
"EALT4<XBSP>","1T2024",252047
"EALT4<XBSP>","2T2024",259603
"AERI3<XBSP>","1T2010","-"
"AERI3<XBSP>","2T2010","-"
"AERI3<XBSP>","3T2010","-"
"AERI3<XBSP>","4T2010","-"
"AERI3<XBSP>","1T2011","-"
"AERI3<XBSP>","2T2011","-"
"AERI3<XBSP>","3T2011","-"
"AERI3<XBSP>","4T2011","-"
"AERI3<XBSP>","1T2012","-"
"AERI3<XBSP>","2T2012","-"
"AERI3<XBSP>","3T2012","-"
"AERI3<XBSP>","4T2012","-"
"AERI3<XBSP>","1T2013","-"
"AERI3<XBSP>","2T2013","-"
"AERI3<XBSP>","3T2013","-"
"AERI3<XBSP>","4T2013","-"
"AERI3<XBSP>","1T2014","-"
"AERI3<XBSP>","2T2014","-"
"AERI3<XBSP>","3T2014","-"
"AERI3<XBSP>","4T2014","-"
"AERI3<XBSP>","1T2015","-"
"AERI3<XBSP>","2T2015","-"
"AERI3<XBSP>","3T2015","-"
"AERI3<XBSP>","4T2015","-"
"AERI3<XBSP>","1T2016","-"
"AERI3<XBSP>","2T2016","-"
"AERI3<XBSP>","3T2016","-"
"AERI3<XBSP>","4T2016","-"
"AERI3<XBSP>","1T2017","-"
"AERI3<XBSP>","2T2017","-"
"AERI3<XBSP>","3T2017","-"
"AERI3<XBSP>","4T2017","-"
"AERI3<XBSP>","1T2018","-"
"AERI3<XBSP>","2T2018","-"
"AERI3<XBSP>","3T2018","-"
"AERI3<XBSP>","4T2018",129839
"AERI3<XBSP>","1T2019","-"
"AERI3<XBSP>","2T2019","-"
"AERI3<XBSP>","3T2019","-"
"AERI3<XBSP>","4T2019",174210
"AERI3<XBSP>","1T2020",191550
"AERI3<XBSP>","2T2020",114544
"AERI3<XBSP>","3T2020",172284
"AERI3<XBSP>","4T2020",966252
"AERI3<XBSP>","1T2021",989867
"AERI3<XBSP>","2T2021",1006992
"AERI3<XBSP>","3T2021",1016965
"AERI3<XBSP>","4T2021",999592
"AERI3<XBSP>","1T2022",995260
"AERI3<XBSP>","2T2022",967394
"AERI3<XBSP>","3T2022",942087
"AERI3<XBSP>","4T2022",884868
"AERI3<XBSP>","1T2023",862600
"AERI3<XBSP>","2T2023",843215
"AERI3<XBSP>","3T2023",815079
"AERI3<XBSP>","4T2023",1138258
"AERI3<XBSP>","1T2024",1097234
"AERI3<XBSP>","2T2024",1094390
"AESB3<XBSP>","1T2010",4593098
"AESB3<XBSP>","2T2010",4299791
"AESB3<XBSP>","3T2010",4025954
"AESB3<XBSP>","4T2010",4171797
"AESB3<XBSP>","1T2011",4338516
"AESB3<XBSP>","2T2011",4128187
"AESB3<XBSP>","3T2011",4010493
"AESB3<XBSP>","4T2011",4617591
"AESB3<XBSP>","1T2012",4722963
"AESB3<XBSP>","2T2012",4371810
"AESB3<XBSP>","3T2012",4332732
"AESB3<XBSP>","4T2012",4254798
"AESB3<XBSP>","1T2013",3680586
"AESB3<XBSP>","2T2013",4052710
"AESB3<XBSP>","3T2013",3869305
"AESB3<XBSP>","4T2013",3948769
"AESB3<XBSP>","1T2014",4042581
"AESB3<XBSP>","2T2014",3951873
"AESB3<XBSP>","3T2014",3717407
"AESB3<XBSP>","4T2014",3682180
"AESB3<XBSP>","1T2015",3791943
"AESB3<XBSP>","2T2015",3789836
"AESB3<XBSP>","3T2015",3765775
"AESB3<XBSP>","4T2015",2018466
"AESB3<XBSP>","1T2016",2092971
"AESB3<XBSP>","2T2016",1678351
"AESB3<XBSP>","3T2016",1657571
"AESB3<XBSP>","4T2016",1578099
"AESB3<XBSP>","1T2017",1705810
"AESB3<XBSP>","2T2017",1628360
